Wetland,Wetland Type,Zone,Transect,Quadrat,Sampling Date,Species Richness,Ambrosia artemisiifolia,Apocynum,Asclepias incarnata,Aster sp. ,Bulrush Sp. ,Carex vulpinoidea,Centaurea repens,Ceratophyllum demersum,Cirsium arvense,Dactyloctenium aegyptium,Eleocharis palustris,Elymus elymoides,Fil. Green Algae,Forb sp. ,Grass sp.,Hordeum jubatum,Juncus torreyi,Lemna Minor,Lemna trisulca,Lepidium draba,Lycopus Asper,Melilotus albus,Persicaria lapathifolia,Persicaria sp.,Phalaris arundinacea,Polygynum sp.,Pondweed sp.,Ranunculus sceleratus,River Bulrush,Rush sp.,Salix Exigua,Schoenoplectus acutus,Schoenoplectus americanus,Schoenoplectus tabernaemontani,Scirpus pallidus,Sedge sp.,Sium Suave,Solidago Canadense ,Solidago gigantea,Sonchus arvensis,Sparganium eurycarpum,Stuckenia pectinata,Symphyotrichum novae-angliae,Taraxacum,Tecrium Canadense,Toxicodendron radicans,Typha angustifolia,Typha latifolia,Typha xglacuca,Unknown sp. ,White top grass
Buffalo Lake,C,Emergent,1,30,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Buffalo Lake,C,Emergent,1,35,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
Buffalo Lake,C,Emergent,2,3,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
Buffalo Lake,C,Emergent,2,13,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Buffalo Lake,C,Emergent,2,26,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Buffalo Lake,C,Emergent,2,39,7/14/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Eriksrud,T,Emergent,1,7,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0
Eriksrud,T,Emergent,1,14,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
Eriksrud,T,Emergent,1,21,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0
Eriksrud,T,Emergent,1,30,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,5,0,0,50,0,0,0
Eriksrud,T,Emergent,2,5,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Eriksrud,T,Emergent,2,10,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Eriksrud,T,Emergent,2,22,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Eriksrud,T,Emergent,2,30,7/19/16,,0,0,0,2,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0,0,0,0,0,0,15,0,0,0,0
Fods Slough,S,Emergent,1,8,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,15,0,0,10,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Fods Slough,S,Emergent,1,18,7/21/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,30,0,0,0,0,0,0,15,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
Fods Slough,S,Emergent,1,29,7/21/16,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,15,0,0,0,0,0,0,20,0,0,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
Fods Slough,S,Emergent,1,36,7/21/16,,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fods Slough,S,Emergent,2,3,7/21/16,,25,0,0,0,0,0,0,0,10,0,5,15,0,0,0,0,0,0,0,0,2,30,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0,0,0,1,0,0,5,0,0,0,0
Fods Slough,S,Emergent,2,13,7/21/16,,5,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
Fods Slough,S,Emergent,2,29,7/21/16,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,50,0,0,0,0,0,0,0,0,0,40,0,0,0,0,70,0,0,0,0,0,0,10,0,0,0,0
Fods Slough,S,Emergent,2,32,7/21/16,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,50
Gerdink,T,Emergent,1,7,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0
Gerdink,T,Emergent,1,14,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
Gerdink,T,Emergent,1,21,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0
Gerdink,T,Emergent,1,30,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,5,0,0,50,0,0,0
Gerdink,T,Emergent,2,5,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Gerdink,T,Emergent,2,10,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Gerdink,T,Emergent,2,22,7/19/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Gerdink,T,Emergent,2,30,7/19/16,,0,0,0,2,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0,0,0,0,0,0,15,0,0,0,0
Haberger,T,Emergent,1,7,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Haberger,T,Emergent,1,15,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
Haberger,T,Emergent,1,26,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0
Haberger,T,Emergent,1,30,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
Haberger,T,Emergent,2,0,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Haberger,T,Emergent,2,19,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Haberger,T,Emergent,2,26,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Haberger,T,Emergent,2,37,7/20/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Healy Slough,S,Emergent,1,7,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Healy Slough,S,Emergent,1,18,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Healy Slough,S,Emergent,1,25,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
Healy Slough,S,Emergent,1,30,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,80,0,0,0,0
Healy Slough,S,Emergent,2,9,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
Healy Slough,S,Emergent,2,19,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0
Healy Slough,S,Emergent,2,26,6/23/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
Healy Slough,S,Emergent,2,32,6/23/16,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
Lake Vermillion ,C,Emergent,1,6,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,5,0
Lake Vermillion ,C,Emergent,1,13,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
Lake Vermillion ,C,Emergent,1,25,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Lake Vermillion ,C,Emergent,1,40,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Lake Vermillion ,C,Emergent,2,8,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
Lake Vermillion ,C,Emergent,2,13,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
Lake Vermillion ,C,Emergent,2,27,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Lake Vermillion ,C,Emergent,2,31,6/24/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
Lost Lake,C,Emergent,1,7,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Lost Lake,C,Emergent,1,14,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
Lost Lake,C,Emergent,1,23,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
Lost Lake,C,Emergent,1,31,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Lost Lake,C,Emergent,2,9,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Lost Lake,C,Emergent,2,19,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0
Lost Lake,C,Emergent,2,22,7/11/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
Lost Lake,C,Emergent,2,38,7/11/16,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Petri II,T,Emergent,1,10,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,80,0,0
Petri II,T,Emergent,1,17,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,90,0,0
Petri II,T,Emergent,1,23,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0
Petri II,T,Emergent,1,37,7/12/16,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
Petri II,T,Emergent,2,9,7/12/16,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
Petri II,T,Emergent,2,19,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0
Petri II,T,Emergent,2,26,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,50,0,0,0
Petri II,T,Emergent,2,40,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,10
Petri II,T,Emergent,1,8,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,1,17,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,1,23,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,1,35,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,2,7,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,2,11,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,2,26,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri II,T,Emergent,2,31,7/12/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pettigrew,C,Emergent,1,10,7/13/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Pettigrew,C,Emergent,1,12,7/13/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
Pettigrew,C,Emergent,1,27,7/13/16,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Pettigrew,C,Emergent,1,35,7/13/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Pettigrew,C,Emergent,2,4,7/13/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0
Pettigrew,C,Emergent,2,12,7/13/16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
